gene,CTRL_1,CTRL_2,CTRL_3,CTRL_4,CTRL_5,CTRL_6,DIS_1,DIS_2,DIS_3,DIS_4,DIS_5,DIS_6
GENE5367,10,8,8,10,2,13,8,9,4,21,18,5
GENE5368,4,3,8,4,2,2,7,11,4,11,12,6
GENE5369,384,210,227,110,67,393,346,356,307,120,136,273
GENE5370,21,32,43,78,29,55,28,53,29,72,14,43
GENE5371,109,144,86,160,100,132,56,151,30,55,51,40
GENE5372,207,840,442,503,204,613,484,733,247,217,247,420
GENE5373,159,198,209,124,207,177,229,305,95,279,127,164
GENE5374,9,20,17,27,20,22,18,23,6,33,16,6
GENE5375,27,82,40,47,63,69,54,60,72,50,75,23
GENE5376,2,0,4,1,2,4,4,0,6,5,1,2
GENE5377,16,11,19,28,11,41,16,26,38,14,9,18
GENE5378,7,7,10,23,14,27,8,10,12,31,9,29
GENE5379,19,24,21,13,18,16,8,14,9,10,6,8
GENE5380,9,24,5,21,10,9,13,11,9,10,13,7
GENE5381,19,33,63,53,30,61,87,41,45,43,55,37
GENE5382,44,204,69,68,69,53,247,202,134,134,94,265
GENE5383,5,2,4,3,5,2,2,3,1,4,5,6
GENE5384,254,523,313,414,124,404,253,707,197,423,596,215
GENE5385,32,26,34,19,27,34,26,59,11,51,17,11
GENE5386,39,9,34,32,41,24,37,39,21,10,52,29
GENE5387,55,95,124,94,59,142,139,72,94,177,47,102
GENE5388,880,2678,1898,1446,787,2194,1826,1474,1383,2510,2509,1929
GENE5389,1279,1999,2583,2654,715,919,2952,2259,1702,2352,1595,3999
GENE5390,12,17,9,12,9,25,25,12,19,13,21,15
GENE5391,222,360,363,500,86,172,194,122,174,76,395,209
GENE5392,70,57,134,171,73,128,86,53,24,124,154,80
GENE5393,41,59,72,117,22,54,57,78,55,62,9,18
GENE5394,12,26,5,24,9,18,10,19,4,25,13,3
GENE5395,30,28,42,24,9,51,27,30,20,22,23,24
GENE5396,72,209,144,86,81,126,182,116,125,69,159,112
GENE5397,51,135,79,163,31,131,57,57,41,72,111,118
GENE5398,1408,3037,2839,3109,3232,6006,2298,3226,3840,2905,1384,1572
GENE5399,12,26,10,10,13,13,23,21,10,16,3,18
GENE5400,17,33,61,134,17,39,58,79,37,54,42,33
GENE5401,36,44,54,70,46,110,41,69,34,73,51,29
GENE5402,212,536,201,599,99,508,987,854,784,1036,306,423
GENE5403,42,93,53,61,48,155,21,105,38,101,73,83
GENE5404,63,267,111,83,105,122,65,205,111,80,59,94
GENE5405,7,19,12,18,3,15,13,25,8,13,13,12
GENE5406,85,150,80,120,65,177,104,129,83,53,104,121
GENE5407,33,26,14,48,26,66,20,65,19,44,39,24
GENE5408,60,134,128,166,113,184,107,232,85,64,101,152
GENE5409,1017,1752,1349,744,599,1386,908,1937,417,1658,1136,588
GENE5410,189,213,128,146,187,373,92,188,154,308,260,194
GENE5411,15,18,18,36,17,22,16,9,11,5,9,18
GENE5412,28,20,10,26,19,32,12,17,23,31,27,14
GENE5413,25,13,47,41,35,50,44,83,46,41,37,22
GENE5414,28,135,122,146,73,130,96,260,115,117,109,55
GENE5415,159,68,231,151,94,74,130,196,111,167,108,141
GENE5416,9,4,5,12,5,10,24,21,20,20,13,10
GENE5417,297,608,424,462,200,578,252,551,282,220,221,403
GENE5418,15,44,123,53,22,83,44,36,65,92,22,32
GENE5419,12,21,5,18,7,6,22,23,11,17,7,16
GENE5420,2,0,2,2,3,3,0,5,2,1,1,3
GENE5421,6,2,12,10,4,20,25,11,4,16,5,12
GENE5422,3,2,3,2,3,0,4,2,0,4,1,2
GENE5423,239,468,279,344,347,152,437,420,295,242,506,242
GENE5424,83,80,32,79,42,81,66,84,48,69,49,11
GENE5425,102,135,123,179,55,64,114,192,89,149,96,147
GENE5426,5,6,4,7,4,4,8,13,3,8,8,9
GENE5427,3,5,6,2,3,1,0,8,2,3,3,2
GENE5428,29,71,28,43,30,50,27,85,23,26,55,51
GENE5429,26,70,22,12,26,33,22,74,12,64,34,50
GENE5430,35,41,31,40,7,24,26,29,36,40,21,33
GENE5431,29,14,40,60,24,61,33,60,28,71,46,66
GENE5432,76,25,50,44,18,35,19,88,49,31,62,8
GENE5433,3,0,4,2,2,0,6,1,2,6,2,0
GENE5434,34,73,136,34,71,55,22,27,5,21,5,33
GENE5435,128,201,181,209,155,305,113,221,173,245,135,200
GENE5436,29,21,20,30,32,56,7,78,21,44,25,16
GENE5437,4,6,0,2,2,4,2,0,3,0,1,1
GENE5438,9,30,57,49,29,77,34,58,23,61,22,35
GENE5439,6,7,24,8,8,24,22,18,4,15,3,13
GENE5440,38,133,150,72,59,102,145,143,73,257,57,29
GENE5441,1627,1598,2304,1955,1461,2009,1340,2217,899,1825,1412,1168
GENE5442,2,4,0,5,1,7,5,8,1,3,0,2
GENE5443,1,2,3,7,3,6,2,6,1,5,3,3
GENE5444,225,83,216,269,103,401,174,406,63,296,173,187
GENE5445,1,5,5,4,1,2,5,1,2,3,0,2
GENE5446,105,318,145,350,226,539,204,153,173,229,163,91
GENE5447,38,72,37,63,12,33,45,52,23,69,56,29
GENE5448,3,26,18,20,16,25,9,19,14,27,19,13
GENE5449,3,6,6,4,4,1,4,3,0,1,0,3
GENE5450,17,21,42,19,14,23,27,50,15,35,26,28
GENE5451,27,22,23,13,24,20,26,47,25,31,26,32
GENE5452,45,110,129,117,71,111,149,281,309,392,597,525
GENE5453,454,920,681,449,353,519,457,685,674,547,437,314
GENE5454,7,10,11,24,2,13,5,14,6,5,12,7
GENE5455,187,263,156,225,91,374,94,225,206,155,89,175
GENE5456,129,446,135,279,126,196,135,130,185,178,159,118
GENE5457,13,21,23,64,10,10,24,13,4,12,5,18
GENE5458,9,27,10,31,15,24,18,21,7,7,10,24
GENE5459,48,214,166,83,33,161,26,18,16,24,13,21
GENE5460,5,2,1,5,1,7,1,2,3,4,3,1
GENE5461,38,87,59,81,36,100,96,166,33,125,50,38
GENE5462,3,6,8,6,3,6,1,0,1,2,1,2
GENE5463,31,8,9,26,10,15,18,40,9,21,31,29
GENE5464,75,45,34,56,39,35,136,171,117,203,80,145
GENE5465,14,15,11,48,10,16,19,17,10,35,12,17
GENE5466,20,24,12,24,5,37,11,6,12,10,3,4
GENE5467,24,25,28,24,10,21,46,30,10,33,35,50
GENE5468,314,349,196,444,209,264,181,306,188,242,190,294
GENE5469,5,2,3,5,0,3,7,5,1,2,5,0
GENE5470,1077,832,1081,1142,392,819,1634,4074,2111,2164,1060,2097
GENE5471,169,256,164,221,71,412,110,179,98,124,273,218
GENE5472,1,8,2,6,1,6,1,0,1,5,0,1
GENE5473,48,175,96,51,12,117,12,13,6,5,9,19
GENE5474,14,15,28,25,28,29,14,14,23,26,17,17
GENE5475,9,21,16,6,4,8,13,14,11,9,16,6
GENE5476,33,75,33,35,34,59,59,30,42,41,50,36
GENE5477,179,146,81,79,79,83,129,173,57,59,64,157
GENE5478,84,72,117,86,103,126,137,120,141,137,103,95
GENE5479,3,4,2,6,5,0,3,4,4,3,5,3
GENE5480,12,18,14,15,8,15,10,15,12,2,6,14
GENE5481,16,29,11,19,8,15,3,18,9,8,9,9
GENE5482,29,89,73,72,93,110,59,88,79,100,68,98
GENE5483,204,172,189,193,103,124,136,122,248,147,158,132
GENE5484,35,22,32,29,13,32,2,9,4,14,1,7
GENE5485,144,339,167,293,154,145,251,164,76,309,148,162
GENE5486,21,53,70,100,39,53,40,85,39,109,54,63
GENE5487,42,156,116,113,48,85,119,107,70,59,94,118
GENE5488,7,22,18,7,8,24,3,21,11,14,9,17
GENE5489,896,412,504,575,335,1037,841,639,507,1199,683,936
GENE5490,119,59,106,281,168,277,486,197,149,212,202,161
GENE5491,117,93,93,220,62,140,114,129,132,132,167,107
GENE5492,4,3,3,6,1,6,3,8,3,3,2,6
GENE5493,53,143,198,101,57,73,293,191,57,106,174,85
GENE5494,83,187,102,132,157,158,95,188,63,96,84,119
GENE5495,120,169,101,169,117,153,183,82,37,106,38,46
GENE5496,5,11,7,7,2,11,6,20,13,14,5,16
GENE5497,9,19,11,35,6,27,33,25,11,8,19,15
GENE5498,1054,1286,1819,1148,580,2176,1499,1911,1317,2767,688,1827
GENE5499,13,0,12,4,2,5,7,4,3,5,6,6
GENE5500,1,14,4,17,7,11,19,23,7,4,5,8
GENE5501,69,85,49,114,84,120,108,124,79,83,133,34
GENE5502,265,656,845,377,389,390,452,1203,515,682,332,742
GENE5503,19,62,47,74,27,48,39,39,27,37,24,25
GENE5504,29,111,84,170,52,69,54,256,134,81,84,52
GENE5505,92,89,121,177,116,234,95,199,106,120,105,206
GENE5506,0,1,1,3,0,5,0,3,1,0,0,2
GENE5507,11,11,20,19,4,15,23,23,28,15,10,11
GENE5508,24,14,12,24,5,15,22,38,23,9,10,12
GENE5509,26,19,60,27,22,49,18,64,30,10,25,33
GENE5510,13,14,21,18,8,12,11,13,16,10,11,25
GENE5511,53,48,43,24,18,37,39,80,29,29,25,65
GENE5512,672,1827,1190,1119,665,832,1517,1282,1206,1568,326,536
GENE5513,57,70,62,47,54,119,65,69,43,66,49,57
GENE5514,604,480,445,446,225,685,1640,3842,1518,1903,1157,1114
GENE5515,68,39,58,63,37,51,26,20,13,55,12,14
GENE5516,58,80,57,95,48,122,53,191,36,89,61,60
GENE5517,8,84,54,31,32,56,37,63,46,69,44,53
GENE5518,314,630,180,392,222,202,325,392,158,354,130,499
GENE5519,11,10,9,19,19,19,28,43,35,22,27,7
GENE5520,22,31,67,37,20,47,31,25,39,51,36,30
GENE5521,4,9,3,4,2,5,8,2,3,1,4,4
GENE5522,50,116,153,165,82,209,209,56,152,135,42,101
GENE5523,12,17,5,4,13,11,6,14,16,21,9,4
GENE5524,139,297,199,198,97,193,221,301,88,180,146,158
GENE5525,55,81,157,169,80,126,45,58,38,67,137,53
GENE5526,31,73,57,83,34,67,55,52,45,96,25,56
GENE5527,41,59,46,49,30,68,27,71,52,7,46,43
GENE5528,9,23,11,4,5,22,12,16,29,10,9,13
GENE5529,13,24,30,27,9,25,23,55,5,12,30,20
GENE5530,23,16,10,27,10,33,21,16,15,23,7,12
GENE5531,142,183,126,227,123,200,167,151,56,332,98,103
GENE5532,63,66,109,126,61,112,100,40,78,99,101,72
GENE5533,23,51,57,37,31,36,39,23,22,46,25,14
GENE5534,185,166,273,303,70,420,166,258,74,271,414,128
GENE5535,237,215,199,607,222,438,299,135,100,373,345,203
GENE5536,2,4,4,1,2,8,1,5,1,4,4,4
GENE5537,4,15,4,21,10,17,13,22,8,11,33,16
GENE5538,416,354,491,336,306,487,647,1339,250,701,442,511
GENE5539,119,169,92,146,56,166,108,179,136,121,143,272
GENE5540,8,18,33,34,21,13,19,27,19,35,18,45
GENE5541,58,298,221,158,115,219,101,230,82,242,94,161
GENE5542,102,244,310,237,131,212,235,316,160,229,86,136
GENE5543,209,140,147,243,87,338,289,403,285,160,128,48
GENE5544,9,14,9,14,12,14,8,6,6,7,10,11
GENE5545,10,15,18,20,32,21,11,23,24,26,18,17
GENE5546,64,79,222,217,101,68,110,107,76,139,147,40
GENE5547,33,54,83,43,28,34,76,74,48,75,58,63
GENE5548,37,114,28,103,66,58,57,131,91,103,54,121
GENE5549,2,2,0,5,1,5,6,6,4,7,5,6
GENE5550,245,101,220,730,88,431,211,401,155,205,218,182
GENE5551,31,73,28,65,21,40,42,65,88,44,11,40
GENE5552,15,23,14,16,7,33,11,15,10,8,22,26
GENE5553,21,32,34,38,28,35,46,19,19,22,19,33
GENE5554,12,21,14,11,10,9,4,6,3,6,8,2
GENE5555,124,367,220,435,332,308,220,604,380,605,803,266
GENE5556,8,15,4,7,13,16,21,28,16,19,14,12
GENE5557,114,111,58,69,59,122,106,147,130,148,50,210
GENE5558,6,17,0,10,5,25,6,21,17,28,17,7
GENE5559,3,14,7,3,3,8,15,12,8,13,16,32
GENE5560,25,40,67,11,38,66,39,57,18,57,48,27
GENE5561,133,212,193,104,78,80,127,207,96,137,149,298
GENE5562,14,21,15,8,3,2,3,13,5,15,8,11
GENE5563,4,0,5,6,0,6,3,3,2,2,0,0
GENE5564,61,65,121,109,43,63,107,142,77,129,51,46
GENE5565,5,9,18,9,3,5,17,40,62,57,24,22
GENE5566,69,52,64,29,24,49,67,84,35,112,79,23
GENE5567,494,363,518,239,196,407,559,668,287,650,333,282
GENE5568,80,276,64,113,187,153,103,108,81,164,314,111
GENE5569,80,106,96,102,56,136,44,122,103,245,109,159
GENE5570,2,6,6,8,4,2,1,2,0,4,2,7
GENE5571,30,53,24,49,27,27,20,54,15,28,39,34
GENE5572,91,158,103,144,76,62,722,689,354,596,330,517
GENE5573,32,27,96,109,21,60,43,79,30,60,36,53
GENE5574,39,24,54,65,30,62,47,66,53,14,72,95
GENE5575,4,15,8,8,4,37,20,21,5,3,10,5
GENE5576,287,383,156,273,141,581,394,463,333,350,314,436
GENE5577,3,3,6,12,9,9,6,13,10,20,6,6
GENE5578,28,33,35,38,20,51,26,64,25,33,36,27
GENE5579,6,1,5,9,3,6,5,4,4,12,5,8
GENE5580,88,156,71,175,88,146,118,98,80,128,125,151
GENE5581,114,117,100,81,29,151,65,51,40,75,77,58
GENE5582,26,23,52,41,37,31,27,43,45,43,34,21
GENE5583,10,25,24,26,35,56,7,24,13,25,5,12
GENE5584,27,50,24,43,31,29,34,24,36,46,43,19
GENE5585,1875,1486,5367,2219,4571,2724,1960,6732,2452,4495,2221,1764
GENE5586,0,0,3,5,1,3,2,3,1,1,1,1
GENE5587,25,53,48,60,22,27,29,41,16,44,37,17
GENE5588,118,120,105,168,89,97,101,188,82,120,118,103
GENE5589,26,65,101,33,64,116,41,68,26,74,147,26
GENE5590,18,24,28,24,11,39,25,17,22,49,12,26
GENE5591,47,46,69,45,20,60,49,34,101,50,63,28
GENE5592,10,35,34,33,9,26,24,21,15,12,14,28
GENE5593,13,4,18,9,6,18,13,8,5,19,4,11
GENE5594,18,22,23,24,17,32,22,16,17,33,23,19
GENE5595,266,289,399,315,302,643,648,744,467,176,311,302
GENE5596,121,122,214,325,130,207,172,254,92,154,202,282
GENE5597,8,22,12,8,7,43,65,68,46,41,45,50
GENE5598,34,54,38,81,67,94,17,15,21,9,27,34
GENE5599,51,92,40,70,33,110,54,52,55,40,64,63
GENE5600,173,144,201,256,145,348,172,179,196,232,61,107
GENE5601,6,14,13,14,4,4,7,7,21,17,13,10
GENE5602,301,156,401,438,173,778,282,582,312,347,353,276
GENE5603,17,23,29,12,14,19,12,31,27,33,17,10
GENE5604,88,206,92,120,69,76,152,130,47,197,228,104
GENE5605,42,32,151,158,40,189,102,107,44,107,146,42
GENE5606,6,7,3,2,4,14,9,15,5,3,9,1
GENE5607,87,147,122,83,61,102,170,147,86,239,102,101
GENE5608,288,272,329,234,183,461,479,355,79,367,258,269
GENE5609,1538,2220,3227,1896,990,2079,1012,2415,1776,2288,1400,1261
GENE5610,110,135,121,208,65,166,75,249,83,108,177,117
GENE5611,18,53,38,21,13,40,28,25,28,38,18,17
GENE5612,15,19,53,59,21,55,47,90,15,66,46,30
GENE5613,349,385,346,414,564,409,280,392,345,432,186,391
GENE5614,654,858,980,588,794,1193,949,1635,1095,1202,1288,1093
GENE5615,94,83,107,114,99,140,100,152,118,210,49,99
GENE5616,40,88,40,66,28,91,27,85,27,31,31,64
GENE5617,119,104,204,148,49,153,207,91,62,113,146,115
GENE5618,106,106,257,271,95,88,141,126,81,166,78,186
GENE5619,42,42,59,32,31,98,38,21,61,86,32,44
GENE5620,9,7,35,21,15,13,13,25,23,24,19,17
GENE5621,19,16,16,24,6,12,8,44,22,19,20,21
GENE5622,1,5,5,11,5,9,4,7,8,6,7,15
GENE5623,137,91,275,309,78,219,65,94,58,118,87,50
GENE5624,50,138,68,43,23,80,47,98,69,49,35,71
GENE5625,100,173,344,199,98,222,272,138,165,259,78,110
GENE5626,4,3,2,2,3,4,2,13,5,26,3,4
GENE5627,21,42,27,21,39,37,21,30,9,11,37,35
GENE5628,21,58,57,114,41,59,56,50,35,29,52,42
GENE5629,58,82,95,160,86,124,117,62,56,130,32,46
GENE5630,10,15,10,23,6,26,35,74,30,61,34,54
GENE5631,264,589,382,439,204,387,328,343,242,587,258,166
GENE5632,15,15,14,14,13,18,14,17,13,12,18,20
GENE5633,0,0,4,3,0,2,1,2,3,3,0,3
GENE5634,8,7,9,23,4,15,2,8,3,12,9,3
GENE5635,14,29,30,19,15,38,14,41,22,34,52,22
GENE5636,100,216,178,70,82,111,86,228,61,105,131,105
GENE5637,2,5,1,0,0,2,1,5,2,4,1,1
GENE5638,30,31,43,34,32,35,50,81,50,47,61,39
GENE5639,171,419,186,379,376,458,160,390,311,189,160,215
GENE5640,231,95,198,335,210,139,116,104,427,325,235,320
GENE5641,34,19,18,59,34,37,25,59,23,40,31,35
GENE5642,281,132,353,587,131,817,192,304,165,493,370,230
GENE5643,14,85,58,32,23,28,30,53,40,127,14,35
GENE5644,88,206,86,138,57,79,119,87,80,177,96,153
GENE5645,20,11,23,21,33,75,45,29,22,47,28,44
GENE5646,19,78,29,123,8,37,90,55,16,50,103,71
GENE5647,1212,1436,775,1866,2383,1916,869,2856,1103,1789,919,927
GENE5648,141,278,99,219,90,288,126,178,76,106,157,118
GENE5649,202,242,214,344,72,170,253,151,135,182,124,143
GENE5650,26,31,42,43,12,34,49,38,33,35,27,29
GENE5651,11,13,4,19,1,12,15,10,19,9,13,11
GENE5652,19,26,34,26,10,39,4,12,3,9,8,18
GENE5653,19,55,65,60,30,132,83,58,104,77,65,93
GENE5654,14,32,12,22,9,15,20,13,11,13,26,13
GENE5655,167,286,209,185,134,472,150,732,154,139,142,366
GENE5656,2,3,0,0,2,4,1,7,10,4,1,0
GENE5657,1053,1556,1751,1227,553,1094,375,929,1010,1080,338,1241
GENE5658,21,19,61,52,26,85,1,14,3,10,2,2
GENE5659,1116,1701,1063,1389,507,1217,1229,1508,981,1640,1216,1635
GENE5660,809,741,1358,1135,618,1472,2657,2956,658,1257,653,633
GENE5661,376,1161,774,1019,292,1032,1611,1172,1093,709,888,980
GENE5662,54,82,34,62,49,29,29,26,40,53,47,37
GENE5663,86,104,68,114,113,115,64,176,117,90,48,75
GENE5664,5,10,8,6,11,14,0,10,17,13,8,9
GENE5665,103,99,85,165,26,108,54,89,16,81,48,88
GENE5666,41,40,73,59,31,40,40,146,19,47,36,58
GENE5667,2,2,3,6,0,4,2,3,3,4,2,0
GENE5668,24,8,12,13,1,9,11,11,15,14,4,11
GENE5669,273,518,525,759,277,327,300,1149,174,543,477,323
GENE5670,5,3,10,13,5,11,6,16,6,11,9,10
GENE5671,374,123,282,342,210,232,238,607,230,137,305,201
GENE5672,64,39,43,62,35,60,49,83,24,41,93,44
GENE5673,20,31,44,39,34,21,23,59,19,59,25,28
GENE5674,3,4,8,5,5,3,11,9,2,2,5,8
GENE5675,115,136,66,54,47,138,66,79,69,184,37,76
GENE5676,82,180,252,178,68,102,121,159,119,129,128,147
GENE5677,3079,4946,1333,3225,1533,3756,3521,847,2663,4666,2300,3637
GENE5678,30,65,46,41,31,48,36,51,20,38,49,44
GENE5679,24,18,27,25,11,16,19,35,14,12,7,8
GENE5680,103,195,126,118,108,166,155,127,43,153,64,124
GENE5681,78,72,39,63,29,56,62,104,48,90,50,46
GENE5682,21,8,18,8,10,50,33,32,10,16,32,28
GENE5683,110,353,230,83,136,153,260,953,416,636,539,510
GENE5684,59,120,63,79,70,76,46,36,49,61,116,81
GENE5685,59,52,82,80,28,61,77,143,35,143,77,62
GENE5686,207,105,274,164,181,482,517,558,370,489,260,263
GENE5687,12,13,22,9,4,18,8,13,9,18,17,13
GENE5688,257,152,369,164,207,185,185,381,219,159,393,233
GENE5689,16,23,15,16,23,20,14,13,22,13,7,16
GENE5690,88,91,65,197,41,136,75,83,94,212,105,78
GENE5691,34,44,44,42,45,40,67,48,39,78,26,42
GENE5692,39,27,70,45,26,60,54,50,37,13,109,25
GENE5693,0,5,4,5,3,7,3,7,1,0,2,2
GENE5694,31,43,28,33,19,50,41,67,23,15,40,56
GENE5695,10,8,8,15,0,18,11,18,16,2,6,9
GENE5696,53,67,71,34,17,30,21,87,49,30,37,56
GENE5697,42,18,19,47,16,30,31,28,32,10,3,30
GENE5698,28,81,65,228,64,105,61,133,73,94,157,130
GENE5699,2,1,1,5,2,2,5,2,2,0,3,3
GENE5700,20,33,21,25,16,38,14,58,32,19,20,62
GENE5701,141,141,120,269,107,265,172,165,141,292,239,151
GENE5702,12,11,9,7,7,12,3,24,10,15,4,12
GENE5703,63,94,74,91,28,50,41,70,32,23,41,56
GENE5704,595,1234,736,755,895,846,607,1195,847,1148,948,436
GENE5705,43,55,57,86,76,47,91,141,36,93,32,40
GENE5706,157,158,143,255,49,134,106,186,47,42,80,115
GENE5707,10,65,27,41,26,23,1,3,0,6,2,18
GENE5708,5,3,12,5,1,4,3,4,1,5,8,4
GENE5709,5,7,13,10,9,7,7,12,10,10,8,12
GENE5710,165,70,48,90,45,177,91,169,100,215,174,105
GENE5711,883,1813,1451,1936,660,1255,1378,1805,834,658,1264,666
GENE5712,6,6,3,7,1,8,7,15,6,1,6,7
GENE5713,7,9,19,7,9,11,7,7,6,13,5,14
GENE5714,13,38,68,38,37,41,19,18,21,18,6,7
GENE5715,0,6,8,6,5,7,6,4,2,5,6,5
GENE5716,46,17,27,35,29,66,20,71,33,25,49,34
GENE5717,36,100,68,87,54,86,75,82,36,111,91,39
GENE5718,52,43,35,41,49,37,74,88,28,75,58,40
GENE5719,19,29,38,37,26,28,16,34,22,30,22,31
GENE5720,0,2,3,3,1,1,1,1,0,0,0,2
GENE5721,141,102,97,171,114,160,342,791,392,413,991,217
GENE5722,9,22,7,26,18,17,20,26,5,17,1,12
GENE5723,35,29,26,60,45,63,111,305,314,85,188,150
GENE5724,24,37,16,16,30,32,12,15,15,10,12,32
GENE5725,9,7,6,5,7,11,12,15,5,10,5,10
GENE5726,13,19,19,22,11,33,22,26,15,17,6,31
GENE5727,6,18,22,24,10,34,23,30,12,19,7,29
GENE5728,1,3,3,4,0,4,0,2,4,0,2,7
GENE5729,2,3,0,7,1,8,5,6,3,9,3,4
GENE5730,54,48,76,111,68,30,91,157,39,70,39,99
GENE5731,67,271,280,263,67,254,144,289,63,140,177,169
GENE5732,34,28,24,26,12,46,49,9,19,42,26,43
GENE5733,16,7,1,9,9,9,9,20,0,9,15,8
GENE5734,13,40,28,53,13,66,24,41,28,24,44,28
GENE5735,250,204,214,340,179,49,120,373,119,220,232,97
GENE5736,18,13,30,20,8,30,3,33,18,14,24,7
GENE5737,262,277,209,229,159,227,304,502,95,344,420,212
GENE5738,15,17,8,32,19,35,24,16,15,19,27,31
GENE5739,43,45,23,75,14,57,27,56,33,55,34,24
GENE5740,3,8,11,8,4,11,16,11,15,6,8,4
GENE5741,56,96,109,107,47,104,56,140,52,119,67,43
GENE5742,147,413,737,429,367,133,201,274,216,527,371,339
GENE5743,15,19,12,19,15,22,26,23,16,31,12,6
GENE5744,64,53,100,88,59,75,96,115,57,40,45,44
GENE5745,9,11,17,13,9,6,5,16,10,13,13,13
GENE5746,53,62,53,58,42,65,64,134,45,107,113,15
GENE5747,53,121,141,333,56,115,76,140,83,44,166,102
GENE5748,194,153,300,172,96,275,120,159,228,356,234,93
GENE5749,9,12,23,66,24,13,30,17,13,13,10,18
GENE5750,3,4,1,1,3,1,1,0,3,4,0,6
GENE5751,25,71,68,122,47,125,77,53,46,40,40,54
GENE5752,21,37,15,77,20,16,25,38,23,30,21,24
GENE5753,3,13,5,3,8,6,11,36,8,19,12,8
GENE5754,117,391,93,219,74,274,92,406,245,311,66,110
GENE5755,26,36,44,7,16,22,20,42,33,21,28,16
GENE5756,73,59,78,53,66,32,22,19,18,16,16,27
GENE5757,23,58,54,66,46,79,75,50,39,40,57,56
GENE5758,82,68,54,155,93,125,135,98,130,146,130,127
GENE5759,183,118,231,196,100,90,174,128,63,160,135,96
GENE5760,10,6,44,30,15,29,5,52,21,19,19,23
GENE5761,63,40,67,150,76,138,50,94,32,115,34,48
GENE5762,189,267,249,170,138,261,367,261,291,205,140,112
GENE5763,146,258,175,206,91,307,75,196,112,198,180,107
GENE5764,227,97,144,104,64,130,219,196,134,232,136,95
GENE5765,1,2,7,1,0,2,5,2,4,7,3,7
GENE5766,31,4,5,25,7,17,17,28,30,9,16,9
GENE5767,43,57,57,42,31,25,16,51,25,35,28,18
GENE5768,28,34,30,67,21,61,14,46,16,43,36,11
GENE5769,11,10,9,12,21,15,52,41,56,91,80,71
GENE5770,19,60,70,74,19,61,30,27,33,50,69,64
GENE5771,2516,996,1384,1876,1531,5333,1300,2895,768,2322,1689,1875
GENE5772,23,21,14,9,6,32,18,37,16,25,32,12
GENE5773,13,27,38,26,14,23,43,48,26,34,25,34
GENE5774,121,187,161,160,180,210,75,235,197,281,79,102
GENE5775,3,3,3,3,4,9,0,7,0,6,0,2
GENE5776,4,6,11,15,8,7,7,8,9,15,6,7
GENE5777,6,4,8,20,2,8,4,14,4,11,5,9
GENE5778,30,58,38,51,51,102,46,96,42,91,43,33
GENE5779,10,12,5,9,4,8,14,12,13,13,10,20
GENE5780,14,34,63,26,21,61,15,15,30,10,16,26
GENE5781,2,4,8,15,10,15,7,6,5,3,2,5
GENE5782,43,68,117,61,50,28,69,97,40,35,30,85
GENE5783,328,972,316,524,289,661,353,1255,323,597,896,300
GENE5784,30,29,68,25,23,56,45,58,25,61,45,42
GENE5785,8,24,22,24,10,43,27,29,15,14,9,19
GENE5786,25,25,51,23,26,51,63,52,45,64,16,59
GENE5787,37,34,17,56,33,48,43,35,27,40,37,40
GENE5788,77,220,317,315,118,395,209,244,189,108,78,226
GENE5789,256,361,721,649,259,723,172,882,549,467,832,547
GENE5790,2,8,7,8,11,7,8,8,6,17,21,9
GENE5791,26,78,91,53,57,50,114,121,89,84,92,74
GENE5792,669,417,1163,2031,1522,839,845,2915,1247,1114,844,1210
GENE5793,144,105,144,199,100,234,156,149,101,145,161,150
GENE5794,5,10,12,11,3,7,8,4,0,14,1,1
GENE5795,258,380,311,382,240,930,407,412,182,329,455,431
GENE5796,9,26,7,19,17,7,19,10,11,13,9,26
GENE5797,3,21,16,22,26,28,10,31,18,16,9,30
GENE5798,7,67,23,41,26,32,27,47,12,26,23,30
GENE5799,10,26,11,17,4,10,11,23,4,1,8,11
GENE5800,69,64,40,62,21,57,74,136,58,41,65,55
GENE5801,60,89,60,59,30,96,370,273,352,198,156,276
GENE5802,84,111,118,190,119,92,159,257,119,70,50,93
GENE5803,94,181,95,152,57,74,75,91,25,71,54,79
GENE5804,48,76,81,52,56,49,112,66,64,79,54,85
GENE5805,57,51,75,59,95,83,42,135,38,123,89,44
GENE5806,84,170,236,122,103,176,124,209,218,213,293,152
GENE5807,45,134,133,126,46,132,32,78,163,109,108,58
GENE5808,1,2,2,7,3,17,1,4,3,10,6,5
GENE5809,3,7,6,9,2,4,3,13,4,13,12,7
GENE5810,3,18,21,7,3,18,15,26,16,19,6,13
GENE5811,34,53,9,19,16,49,181,176,71,114,72,69
GENE5812,69,82,54,119,64,135,37,119,17,102,40,84
GENE5813,0,2,0,6,0,3,2,0,4,7,0,1
GENE5814,16,34,53,64,15,51,47,110,5,62,47,39
GENE5815,63,90,141,113,86,179,138,116,81,74,87,36
GENE5816,153,156,72,125,80,119,90,171,117,125,71,207
GENE5817,26,33,12,27,21,37,20,31,18,40,27,14
GENE5818,33,30,29,34,15,26,13,41,29,12,11,14
GENE5819,134,72,97,115,60,40,76,152,166,125,62,63
GENE5820,152,157,572,540,218,265,73,419,141,217,160,309
GENE5821,122,192,247,164,79,83,145,305,330,213,48,112
GENE5822,21,91,60,32,32,104,87,85,57,64,52,55
GENE5823,51,86,104,55,37,36,50,76,80,34,50,77
